"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info","File does not exist","COMPROMISED","2018-08-02T20:25:37.675+01:00","0.0","0.01"
"First serenity test","File does not exist","COMPROMISED","2018-08-02T20:25:40.153+01:00","0.0","0.01"
"Serenity id info","Get all students","SUCCESS","2018-08-02T20:25:37.684+01:00","0.0","0.18"
"First serenity test","Get all students","SUCCESS","2018-08-02T20:25:40.159+01:00","0.0","0.16"
"Serenity id info","This is a pending test","PENDING","2018-08-02T20:25:34.286+01:00","0.0","0.01"
"First serenity test","This is a pending test","PENDING","2018-08-02T20:25:40.022+01:00","0.0","0.0"
"Serenity id info","This is a skipped test","IGNORED","2018-08-02T20:25:34.046+01:00","0.0","0.16"
"First serenity test","This is a skipped test","IGNORED","2018-08-02T20:25:39.885+01:00","0.0","0.0"
"Serenity id info","This is amanual test","PENDING","2018-08-02T20:25:37.862+01:00","0.0","0.0"
"First serenity test","This is amanual test","PENDING","2018-08-02T20:25:40.322+01:00","0.0","0.0"
"Serenity id info","This is atest with error","ERROR","2018-08-02T20:25:34.235+01:00","0.0","0.03"
"First serenity test","This is atest with error","ERROR","2018-08-02T20:25:39.889+01:00","0.0","0.01"
"Serenity id info","This isa failing","FAILURE","2018-08-02T20:25:34.296+01:00","0.0","3.38"
"First serenity test","This isa failing","FAILURE","2018-08-02T20:25:40.025+01:00","0.0","0.13"
"First serenity test","This test will get the information of all the students from the Students App","SUCCESS","2018-08-02T20:25:39.909+01:00","0.0","0.11"
