"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info","File does not exist","COMPROMISED","2018-08-02T09:26:02.223+01:00","0.0","0.01"
"First serenity test","File does not exist","COMPROMISED","2018-08-02T09:26:04.460+01:00","0.0","0.01"
"Serenity id info","Get all students","SUCCESS","2018-08-02T09:26:02.233+01:00","0.0","0.18"
"First serenity test","Get all students","SUCCESS","2018-08-02T09:26:04.467+01:00","0.0","0.14"
"Serenity id info","This is a pending test","PENDING","2018-08-02T09:25:58.720+01:00","0.0","0.0"
"First serenity test","This is a pending test","PENDING","2018-08-02T09:26:04.302+01:00","0.0","0.0"
"Serenity id info","This is a skipped test","IGNORED","2018-08-02T09:25:58.484+01:00","0.0","0.15"
"First serenity test","This is a skipped test","IGNORED","2018-08-02T09:26:04.160+01:00","0.0","0.0"
"Serenity id info","This is amanual test","PENDING","2018-08-02T09:26:02.411+01:00","0.0","0.0"
"First serenity test","This is amanual test","PENDING","2018-08-02T09:26:04.613+01:00","0.0","0.0"
"Serenity id info","This is atest with error","ERROR","2018-08-02T09:25:58.662+01:00","0.0","0.03"
"First serenity test","This is atest with error","ERROR","2018-08-02T09:26:04.163+01:00","0.0","0.01"
"Serenity id info","This isa failing","FAILURE","2018-08-02T09:25:58.727+01:00","0.0","3.49"
"First serenity test","This isa failing","FAILURE","2018-08-02T09:26:04.311+01:00","0.0","0.15"
"First serenity test","This test will get the information of all the students from the Students App","SUCCESS","2018-08-02T09:26:04.180+01:00","0.0","0.12"
